ts,open,high,low,close,volume
1750824000000,106177.1,106666.0,105931.3,106560.1,5692.955
1750838400000,106560.1,107169.4,106285.8,107126.1,14163.262
1750852800000,107126.1,108090.0,106672.8,106980.3,29862.072
1750867200000,106980.3,107849.9,106853.0,107700.2,10748.455
1750881600000,107700.2,107942.0,107005.4,107264.0,6128.487
1750896000000,107264.0,108239.6,107028.0,107806.7,12274.248
1750910400000,107806.7,108050.1,107447.1,107771.7,7095.424
1750924800000,107771.7,108132.4,107051.3,107266.8,7871.955
1750939200000,107266.8,107721.1,106457.7,107251.2,17483.75
1750953600000,107251.2,107623.1,106950.1,107477.4,7504.196
1750968000000,107477.4,108000.0,106773.4,106905.3,8610.069
1750982400000,106905.3,107472.1,106351.6,107419.9,9196.324
1750996800000,107419.9,107688.9,106810.0,106820.7,6612.1
1751011200000,106820.7,107108.0,106633.2,106933.0,8422.612
1751025600000,106933.0,107374.8,106280.0,107268.3,19026.645
1751040000000,107268.3,107738.1,106388.0,106741.4,14983.19
1751054400000,106741.4,107218.0,106735.0,106999.6,3513.248
1751068800000,106999.6,107296.5,106761.0,107241.2,2940.509
1751083200000,107241.2,107444.3,107109.5,107420.9,3675.123
1751097600000,107420.9,107443.0,107202.1,107320.0,2757.013
1751112000000,107320.0,107499.9,107037.1,107401.4,2548.804
1751126400000,107401.4,107495.3,107161.5,107161.6,2674.621
1751140800000,107161.6,107335.8,107100.0,107241.0,1802.064
1751155200000,107241.0,107444.9,107113.8,107157.1,2907.924
1751169600000,107157.1,107350.0,107157.0,107350.0,1338.776
1751184000000,107350.0,108507.0,107335.4,108420.1,11892.498
1751198400000,108420.1,108484.2,107602.0,107693.5,8058.193
1751212800000,107693.5,107738.7,107222.0,107337.0,7437.769
1751227200000,107337.0,108396.7,107171.2,108314.8,11237.627
1751241600000,108314.8,108766.4,108203.2,108466.6,9800.266
1751256000000,108466.6,108500.0,107410.0,107552.3,10287.567
1751270400000,107552.3,107904.7,107300.0,107590.9,8196.453
1751284800000,107590.9,107821.6,106677.0,107517.2,20387.122
1751299200000,107517.2,107769.3,107057.9,107686.3,9139.926
1751313600000,107686.3,107724.5,106858.8,107081.2,4518.839
1751328000000,107081.2,107484.8,106957.7,107150.5,4594.629
1751342400000,107150.5,107158.3,106546.0,107119.9,9858.355
1751356800000,107119.9,107119.9,106233.7,106553.8,9545.077
1751371200000,106553.8,107139.9,105550.0,105909.6,24713.714
1751385600000,105909.6,106250.0,105335.0,105342.3,13156.225
1751400000000,105342.3,106065.0,105180.3,105634.8,7866.196
1751414400000,105634.8,106178.6,105058.6,106148.6,8219.04
1751428800000,106148.6,107145.0,106082.2,107040.9,12119.877
1751443200000,107040.9,107795.0,107040.9,107436.2,13279.131
1751457600000,107436.2,108740.0,107134.7,108712.4,24997.601
1751472000000,108712.4,109740.9,108620.8,109631.3,26420.538
1751486400000,109631.3,109631.3,108669.0,108803.0,8071.556
1751500800000,108803.0,109081.5,108455.1,108592.6,6486.807
1751515200000,108592.6,109512.0,108510.0,109242.1,8409.435
1751529600000,109242.1,110256.4,109242.1,109551.1,13255.161
1751544000000,109551.1,110485.7,108704.4,109063.1,33981.439
1751558400000,109063.1,109868.5,108955.0,109744.1,9059.87
1751572800000,109744.1,109978.3,109483.4,109540.0,5101.54
1751587200000,109540.0,109725.3,109058.0,109186.9,5360.504
1751601600000,109186.9,109285.6,108650.0,108650.0,7726.675
1751616000000,108650.0,109042.0,108456.0,108826.0,7474.454
1751630400000,108826.0,108914.5,107452.3,107552.9,24806.843
1751644800000,107552.9,107898.5,107220.3,107453.9,11610.224
1751659200000,107453.9,108223.9,107408.8,107947.4,6657.272
1751673600000,107947.4,108229.9,107685.9,108107.1,4145.64
1751688000000,108107.1,108429.2,107934.8,108008.7,4349.609
1751702400000,108008.7,108172.9,107809.9,108055.9,2859.04
1751716800000,108055.9,108191.6,107911.0,108017.2,1994.321
1751731200000,108017.2,108120.0,107820.8,108096.4,2861.977
1751745600000,108096.4,108179.0,107939.7,108144.4,1575.629
1751760000000,108144.4,108200.0,107961.7,107999.7,1987.283
1751774400000,107999.7,108168.0,107888.0,107988.8,2287.044
1751788800000,107988.8,108080.0,107762.6,108028.8,3205.47
1751803200000,108028.8,109088.6,108000.0,108860.0,13046.874
1751817600000,108860.0,108920.0,108225.7,108498.1,6531.786
1751832000000,108498.1,109685.0,108484.7,109160.5,12413.834
1751846400000,109160.5,109681.4,108612.0,109355.1,8830.443
1751860800000,109355.1,109423.6,108573.5,109015.1,5968.263
1751875200000,109015.1,109048.4,108525.0,108593.9,5347.945
1751889600000,108593.9,108625.5,107896.8,108244.4,17074.758
1751904000000,108244.4,108455.9,107449.6,107990.0,12748.246
1751918400000,107990.0,108249.4,107714.2,108200.0,5015.822
1751932800000,108200.0,108482.3,107369.7,107850.1,10963.32
1751947200000,107850.1,108443.8,107691.5,108427.9,5241.081
1751961600000,108427.9,108977.6,108181.0,108718.1,8768.847
1751976000000,108718.1,109188.0,108140.2,108202.7,18220.019
1751990400000,108202.7,109126.2,108029.9,108728.6,11946.284
1752004800000,108728.6,108931.5,108567.0,108881.9,3403.255
1752019200000,108881.9,109093.0,108284.8,108312.6,4721.643
1752033600000,108312.6,108900.0,108263.4,108671.7,5262.057
1752048000000,108671.7,109090.0,108527.3,109018.9,4571.645
